,scenario,model,optSocialWelfare,model_objective,total_DAs_cost,network_case
0,scenario1,Competitive,634372.4574511445,-634372.4574511445,361685.0510601702,Test_normal
1,scenario1,Diagonalization,624845.5403550029,83952.2909657935,397670.48059078807,Test_normal
2,scenario1,FictitiousPlay,632918.9298474848,82691.4725416117,340448.01896904403,Test_normal
3,scenario1,Heuristic,633323.9876150093,79142.51162632921,316956.54327935213,Test_normal
4,scenario1,MPEC,744956.8244709604,85879.19215124063,350440.3408227873,Test_normal
5,scenario1,SmoothFictitiousPlay,633534.7958926287,80488.92704339874,316742.6670944244,Test_normal
0,scenario1,Competitive,788247.2432412282,-788247.2432412282,393182.2773458495,Test_Scaled_Loads
1,scenario1,Diagonalization,621501.629331917,78675.25390217725,356680.14918513293,Test_Scaled_Loads
2,scenario1,FictitiousPlay,627500.9504672094,80916.75875623595,333230.04297017533,Test_Scaled_Loads
3,scenario1,Heuristic,624032.8788996848,77242.79131730476,314824.9067429106,Test_Scaled_Loads
4,scenario1,MPEC,701785.3561268218,147525.4317009313,320860.5099960191,Test_Scaled_Loads
5,scenario1,SmoothFictitiousPlay,626194.5788786645,76970.32368079502,302713.2030827433,Test_Scaled_Loads
0,scenario1,Competitive,785855.274332862,-785855.2743328621,405124.4172004861,Test_congestion
1,scenario1,Diagonalization,631006.3066100253,100645.41537048471,319996.55072666914,Test_congestion
2,scenario1,FictitiousPlay,634463.3078460959,104493.98354390764,331619.5648492368,Test_congestion
3,scenario1,Heuristic,632759.315741277,95438.5479498577,303553.66425538383,Test_congestion
4,scenario1,SmoothFictitiousPlay,632633.0867972408,99061.01478879713,305232.1713887807,Test_congestion
